cohort,data_seed,initialization_seed,noise_level,status,F_raw,F_se_GN,H_fix_exact,H_red_exact,C_exact,C_GN,E_raw,E_SAEPS,E_fix,E_GN_fix_reported,E_GN_fix_recomputed,E_GN_fix_difference,E_relax,identity_residual,identity_holds,source_path,source_sha256
e3_budget_control_1e4,916002,926001,0.0,PASS,30.09031225538043,1.9640202861390428,30.086679316305332,1.9603140264092502,28.126365289896082,28.126291969241386,14.349740759137504,0.0018906459174170816,14.347887515724652,0.9348420164351622,0.0018532434128518329,-0.9329887730223103,2.60683006546848e-06,0.0,True,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e4,916002,926002,0.0,REFERENCE_REDUCTION_FAILED,,,,,,,,,,,,,,,,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e4,916002,926001,0.02,PASS,30.223543154459726,1.9793504727038531,30.226366998350183,1.9816576105552421,28.24470938779494,28.244192681755873,14.251647333504245,0.001164246450778208,14.25307232431051,0.9344223430474882,0.001424990806265563,-0.9329973522412226,1.8293905304213226e-05,0.0,True,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e4,916002,926002,0.02,PASS,30.165125316069602,1.9666647467583473,30.165724774320257,1.967243292124678,28.19848148219558,28.198460569311255,14.333703407956921,0.00029408938167733707,14.334008127891668,0.9347847854120992,0.0003047199347468196,-0.9344800654773524,7.416315779134575e-07,0.0,True,outputs/development/e3_budget_control_1e4/e3_all_fits.csv,f4684fc04618d3d49580db96fa229f3e1f5442c66875e751538a7b7d8f1f5460
e3_budget_control_1e5,916001,926001,0.0,PASS,29.834676777884635,1.569629913395655,29.83571643522938,1.570823613943432,28.264892821285947,28.26504686448898,17.99301508656139,0.0007599201651807386,17.993676941481887,0.947356062871031,0.0006618549204998885,-0.9466942079505312,5.449983622862508e-06,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916001,926002,0.0,PASS,29.85953439934973,1.556006000788301,29.861252613847025,1.5580090997524643,28.30324351409456,28.30352839856143,18.165186020057224,0.0012856785956030367,18.16628884704748,0.9478345987387814,0.0011028269902529082,-0.9467317717485285,1.0065435314007042e-05,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916001,926001,0.02,PASS,29.8798590354465,1.560990823709048,29.88311285447966,1.5642603410577038,28.318852513421955,28.318868211737453,18.10158946702362,0.0020901363040015278,18.10366956771207,0.9476545612956696,0.002080100688455376,-0.9455744606072143,5.543415109888235e-07,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916001,926002,0.02,PASS,29.912078706690906,1.5648961480144337,29.91560902764888,1.5683096428232162,28.347299384825664,28.347182558676472,18.07281426397155,0.002176543900394701,18.075065299633813,0.9475716346941645,0.0022510356622617816,-0.9453205990319027,4.12124441079123e-06,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916002,926001,0.0,PASS,30.092568963556236,1.9674308036667512,30.088859370860437,1.9635153893903734,28.125343981470063,28.125138159889485,14.325863491011729,0.0019940838139560334,14.323974230200761,0.9347359367759857,0.0018892608109672023,-0.9328466759650185,7.318011137617921e-06,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916002,926002,0.0,PASS,30.232792152655072,1.9751152396743699,30.23364338211384,1.975958994952201,28.25768438716164,28.257676912980703,14.300313461405246,0.0004270105177872877,14.300744254481739,0.9346434548590148,0.0004307930764930363,-0.9342126617825217,2.645008285652397e-07,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916002,926001,0.02,PASS,30.221750712545557,1.975513215404007,30.22346796396038,1.9775836899634633,28.245884273996918,28.24623749714155,14.282160104325252,0.001046971897823929,14.283028462723864,0.9345796293621118,0.0008683583986134131,-0.9337112709634984,1.2505296031120417e-05,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
e3_budget_control_1e5,916002,926002,0.02,PASS,30.16967903743356,1.97137819279612,30.170358825748238,1.9719436796761585,28.19841514607208,28.19830084463744,14.299462761225278,0.00028676624134804874,14.29980749130973,0.9346359119609096,0.000344730084452385,-0.9342911818764572,4.053470168672291e-06,0.0,True,outputs/development/e3_budget_control_1e5/e3_all_fits.csv,e0c35e1667eee5802c84f568de10f1e57c4ba80e869673cc80ba16feaad32d80
