source,benchmark,seed,step_budget,basis_dimension,raw_relative_error,gn_relative_error,corrected_relative_error,improved_over_gn,gn_to_corrected_error_ratio,defect_relative_norm,identity_relative_residual,minimum_gap_eigenvalue,maximum_positive_nested_increment_so_far,dense_oracle_gap_spectral_norm,floating_point_mu_bound,reference_minimum_eigenvalue,subspace_stalled_or_response_converged,reference_scalar,gn_scalar,corrected_scalar
outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,Burgers,58,0,0,28.79443265785639,0.014205395893809295,0.010509167709017272,True,1.3517146445022965,0.001776246034004305,9.913085856470602e-13,0.2723764699979938,0.0,0.27237647002395654,10110.841327218337,25.91798679349199,False,25.91798679349199,26.28616205680612,26.190363263489985
outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,Burgers,58,1,1,28.79443265785639,0.014205395893809295,0.00030093873356069656,True,47.20361425640212,0.00016093727328874802,3.4327494773191042e-12,0.007799726125085726,0.0,0.0077997262140824565,83.00310336024194,25.91798679349199,False,25.91798679349199,26.28616205680612,25.925786519617077
outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,Burgers,58,3,3,28.79443265785639,0.014205395893809295,4.944414642319035e-07,True,28730.187335475297,5.924858038256386e-06,2.3092921582496673e-13,1.2814927345061733e-05,0.0,1.2814921359838408e-05,0.11249596625865296,25.91798679349199,False,25.91798679349199,26.28616205680612,25.917999608419336
outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,Burgers,58,5,5,28.79443265785639,0.014205395893809295,2.1485059934100353e-10,True,66117553.02233519,1.617163106636534e-07,4.79159141026476e-12,5.568494998442475e-09,0.0,5.6926834013602084e-09,8.380862245483878e-05,25.91798679349199,False,25.91798679349199,26.28616205680612,25.917986799060486
outputs\posthoc\exact_fixed_state_v3\burgers\seed_58.json,Burgers,58,10,10,28.79443265785639,0.014205395893809295,3.3863061736439583e-12,True,4194953192.470207,5.963514485137753e-12,3.386306205860766e-12,-8.776623872108757e-11,3.353761712787673e-11,8.011317207304009e-19,1.139687039133939e-13,25.91798679349199,False,25.91798679349199,26.28616205680612,25.917986793404225
outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,Burgers,59,0,0,25.598835719042548,0.021715011005310245,0.0599441437147424,False,0.3622540862147598,0.006471296458063838,9.635448127125087e-12,2.011002686640836,0.0,2.0110026869834625,828186.4593682281,33.547942491450044,False,33.547942491450044,34.27643643207455,35.55894517809088
outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,Burgers,59,1,1,25.598835719042548,0.021715011005310245,0.016959653354182282,True,1.2803923849042163,0.0015587470681466785,9.363228274226957e-12,0.5689614755706316,0.0,0.568961475890076,48050.380730373996,33.547942491450044,False,33.547942491450044,34.27643643207455,34.116903967020676
outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,Burgers,59,3,3,25.598835719042548,0.021715011005310245,0.0005863115356501713,True,37.03664295335769,0.0005194579006154463,1.682654481526511e-11,0.019669545685928824,0.0,0.019669546250755753,5336.373832841971,33.547942491450044,False,33.547942491450044,34.27643643207455,33.56761203713597
outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,Burgers,59,5,5,25.598835719042548,0.021715011005310245,4.107550803841842e-06,True,5286.608015900845,3.581995434201965e-05,9.010118333948596e-12,0.00013779987818907102,0.0,0.00013780018046124433,25.37438878482258,33.547942491450044,False,33.547942491450044,34.27643643207455,33.54808029132823
outputs\posthoc\exact_fixed_state_v3\burgers\seed_59.json,Burgers,59,10,10,25.598835719042548,0.021715011005310245,5.150956525258956e-12,True,4215723992.005263,5.0163260351656006e-08,7.1572341943874654e-12,-1.7280399333685637e-10,0.0,6.73064878142941e-11,4.976420210477786e-05,33.547942491450044,False,33.547942491450044,34.27643643207455,33.54794249127724
outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,Burgers,60,0,0,27.413699989306863,0.09673677812460832,0.008626628010269746,True,11.213741685563123,0.0032098933785712257,1.4712922870336804e-12,0.37966297409457184,0.0,0.37966297415988287,157924.16751437122,44.01058832678632,False,44.01058832678632,39.75314580771715,44.39025130088089
outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,Burgers,60,1,1,27.413699989306863,0.09673677812460832,8.526414271728534e-05,True,1134.554046304827,0.00015080211872415479,3.0500329836583594e-12,0.0037525250850194425,0.0,0.003752525219264634,348.5637898916159,44.01058832678632,False,44.01058832678632,39.75314580771715,44.01434085187134
outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,Burgers,60,3,3,27.413699989306863,0.09673677812460832,4.135752007838963e-08,True,2339037.203905168,2.8532325480485845e-06,2.367438579302606e-12,1.8201687908003805e-06,0.0,1.8202729831693923e-06,0.12477906342205637,44.01058832678632,False,44.01058832678632,39.75314580771715,44.01059014695511
outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,Burgers,60,5,5,27.413699989306863,0.09673677812460832,7.553189495086827e-12,True,12807407809.314638,2.648966510522207e-08,8.45646433257234e-12,-3.3242031349800527e-10,0.0,3.975365694298783e-11,1.0755245249876147e-05,44.01058832678632,False,44.01058832678632,39.75314580771715,44.0105883264539
outputs\posthoc\exact_fixed_state_v3\burgers\seed_60.json,Burgers,60,10,9,27.413699989306863,0.09673677812460832,1.9528766273206707e-12,True,49535529675.1799,1.2237519849260493e-12,1.9528766322602746e-12,-8.594724931754172e-11,3.7130121199879795e-10,1.9786610295590812e-19,2.2953779262962732e-14,44.01058832678632,True,44.01058832678632,39.75314580771715,44.01058832670037
outputs\posthoc\exact_fixed_state_v3\burgers\seed_62.json,Burgers,62,0,0,30.446419626123674,0.07110291928182814,0.019904348487278106,True,3.5722304262947207,0.010704737616757758,7.421553148047657e-12,0.44607830774850754,0.0,0.4460783079181433,334467.1478622299,22.41109814946094,False,22.41109814946094,24.00459265291022,22.857176457209448
outputs\posthoc\exact_fixed_state_v3\burgers\seed_62.json,Burgers,62,1,1,30.446419626123674,0.07110291928182814,0.0003688871227054632,True,192.74980042770443,0.00038452848989176954,9.161666199389934e-12,0.008267165516713249,0.0,0.00826716572211199,431.57716517184963,22.41109814946094,False,22.41109814946094,24.00459265291022,22.419365314977654
outputs\posthoc\exact_fixed_state_v3\burgers\seed_62.json,Burgers,62,3,3,30.446419626123674,0.07110291928182814,1.166597085730488e-06,True,60948.994431359846,1.5702750626000955e-05,1.331666144421255e-11,2.6144721800847037e-05,0.0,2.6145020242201847e-05,0.7197022836144079,22.41109814946094,False,22.41109814946094,24.00459265291022,22.41112429418274
