benchmark,grid_index,scan_parameter,scan_value,objective_half_chi2,objective_delta_half_chi2,nuisance,status,boundary
B5,13,k,0.5182449550738971,23.398399784862583,22.75113737681104,"{""a"": 0.8512540971798163}",PASS,False
B5,14,k,0.5576261947257664,5.845855370820854,5.198592962769312,"{""a"": 0.9175139852873161}",PASS,False
B5,15,k,0.6,0.6472624080515421,0.0,"{""a"": 0.9929002485870425}",PASS,False
B5,16,k,0.6455937748352074,8.674456711572175,8.027194303520632,"{""a"": 1.079072079255836}",PASS,False
B5,17,k,0.6946522035099544,30.471356671078603,29.82409426302706,"{""a"": 1.1780946677306403}",PASS,False
B5,18,k,0.7474385637693103,66.18295483781077,65.53569242975922,"{""a"": 1.2925634237097439}",PASS,False
B5,19,k,0.8042361397353917,115.50139089577141,114.85412848771986,"{""a"": 1.4257712855197968}",PASS,False
B5,20,k,0.8653497421844449,177.63712535609912,176.98986294804757,"{""a"": 1.5819356070642245}",PASS,False
B5,21,k,0.9311073443492158,251.3215073355756,250.67424492752406,"{""a"": 1.7665083272699282}",PASS,False
B5,22,k,1.001861842025326,334.8440463953073,334.1967839872558,"{""a"": 1.9866039831619473}",PASS,False
B5,23,k,1.0779929474274743,426.1238351226381,425.4765727145866,"{""a"": 2.251596643819886}",PASS,False
B5,24,k,1.1599092269590576,522.8104542323719,522.1631918243203,"{""a"": 2.573962246095105}",PASS,False
B5,25,k,1.2480502938311424,622.4060602641375,621.758797856086,"{""a"": 2.9704823417760933}",PASS,False
B5,26,k,1.3428891672977286,722.3978580252779,721.7505956172263,"{""a"": 3.463987559130164}",PASS,False
B5,27,k,1.444934811168415,820.3891925866153,819.7419301785637,"{""a"": 4.08591862715899}",PASS,False
B5,28,k,1.5547348652216917,914.2181156063457,913.5708531982941,"{""a"": 4.880144310663011}",PASS,False
B5,29,k,1.6728785841772988,1002.054228079922,1001.4069656718705,"{""a"": 5.908741892754927}",PASS,False
B5,30,k,1.8000000000000003,1082.467413033501,1081.8201506254495,"{""a"": 7.260892502803766}",PASS,False
B6,0,k,0.19999999999999998,6259.840264884786,6253.178135593688,"{""C"": 0.4997268142866032}",PASS,False
B6,1,k,0.21519792494506915,5763.899089601279,5757.2369603101815,"{""C"": 0.5402368196474463}",PASS,False
B6,2,k,0.23155073450331806,5254.049270877364,5247.387141586266,"{""C"": 0.58327767164958}",PASS,False
B6,3,k,0.24914618792310345,4733.149738777505,4726.487609486408,"{""C"": 0.6287617052154774}",PASS,False
B6,4,k,0.26807871324513055,4204.829839623431,4198.167710332334,"{""C"": 0.6765252278562227}",PASS,False
B6,5,k,0.2884499140614816,3673.5944751196403,3666.932345828542,"{""C"": 0.7263149367310162}",PASS,False
B6,6,k,0.31036911478307194,3144.9309116950903,3138.268782403992,"{""C"": 0.7777755873482387}",PASS,False
B6,7,k,0.33395394734177536,2625.413553340454,2618.751424049356,"{""C"": 0.8304401532128597}",PASS,False
B6,8,k,0.35933098247582473,2122.8020102309783,2116.13988093988,"{""C"": 0.8837238823666957}",PASS,False
B6,9,k,0.38663640898635254,1646.1268207925807,1639.4646915014828,"{""C"": 0.9369239070106121}",PASS,False
B6,10,k,0.4160167646103808,1205.756206061433,1199.094076770335,"{""C"": 0.9892249781068799}",PASS,False
B6,11,k,0.4476297224325762,813.4362031358265,806.7740738447286,"{""C"": 1.039711958051458}",PASS,False
B6,12,k,0.4816449370561384,482.295287829966,475.63315853886803,"{""C"": 1.0873880584763584}",PASS,False
B6,13,k,0.5182449550738971,226.80285456853042,220.14072527743247,"{""C"": 1.131197117154415}",PASS,False
B6,14,k,0.5576261947257664,62.668185997440865,56.006056706342896,"{""C"": 1.1700467631463871}",PASS,False
B6,15,k,0.6,6.662129291097968,0.0,"{""C"": 1.2028295066492571}",PASS,False
B6,16,k,0.6455937748352074,76.33675677732606,69.67462748622809,"{""C"": 1.2284383656859255}",PASS,False
